index,status,reviewLevel,title,slug,sku,reasons,officialSourceUrl
39,NEEDS_FIX,DIRECT_OFFICIAL_DETAIL_REVIEW,CODA® Monitor Occlusion Cuff Kits,coda-monitor-occlusion-cuff-kits,M-OCC-XS,summary_is_other_product:coda-monitor-vpr-cuff-kits | price_or_commerce_contamination | supplier_support_contamination | no_structured_sections | duplicate_variant_sku:M-OCC-XS | low_resolution_assets:2 | legacy_image_url_arrays_present | content_starts_with_other_products:coda-monitor|coda-monitor-vpr-cuff-kits,https://www.kentscientific.com/products/coda-monitor-occlusion-cuff-kits/
40,NEEDS_FIX,DIRECT_OFFICIAL_DETAIL_REVIEW,CODA® Monitor VPR Cuff Kits,coda-monitor-vpr-cuff-kits,M-OCC-L-1,summary_is_other_product:coda-high-throughput-occlusion-cuffs | price_or_commerce_contamination | supplier_support_contamination | no_structured_sections | low_resolution_assets:2 | legacy_image_url_arrays_present | content_starts_with_other_products:coda-high-throughput-occlusion-cuffs|coda-monitor|coda-monitor-occlusion-cuff-kits,https://www.kentscientific.com/products/coda-monitor-vpr-cuff-kits/
41,NEEDS_FIX,DIRECT_OFFICIAL_DETAIL_REVIEW,Curved Feeding Needles,curved-feeding-needles,FNC-14-3-2,summary_is_other_product:straight-feeding-needles | price_or_commerce_contamination | supplier_support_contamination | no_structured_sections | low_resolution_assets:2 | legacy_image_url_arrays_present | content_starts_with_other_products:straight-feeding-needles,https://www.kentscientific.com/products/curved-feeding-needles/
42,NEEDS_FIX,DIRECT_OFFICIAL_DETAIL_REVIEW,Cylinder Bracket,cylinder-bracket,MC-101,summary_is_other_product:mobile-cart-for-laboratory-equipment-small | no_structured_sections | low_resolution_assets:3 | legacy_image_url_arrays_present | content_starts_with_other_products:mobile-cart-for-laboratory-equipment-small,https://www.kentscientific.com/products/cylinder-bracket/
43,NEEDS_FIX,DIRECT_OFFICIAL_DETAIL_REVIEW,Disposable Sleeve Protectors for DCT-15 and DCT-20 Far Infrared Warming Pads,disposable-sleeve-protectors-for-dct-15-and-dct-20-far-infrared-warming-pads,DCT-1520P-3,summary_is_other_product:disposable-warming-pads | no_structured_sections | low_resolution_assets:2 | legacy_image_url_arrays_present | content_starts_with_other_products:far-infrared-warming-pad|disposable-warming-pads,https://www.kentscientific.com/products/disposable-sleeve-protectors-for-dct-15-and-dct-20-far-infrared-warming-pads/
44,NEEDS_FIX,DIRECT_OFFICIAL_DETAIL_REVIEW,Dissecting Scissors Straight 10 cm Long,dissecting-scissors-straight-10-cm-long,INS600393-4,summary_is_other_product:castroviejo-needle-holder-serrated | no_structured_sections | low_resolution_assets:3 | legacy_image_url_arrays_present | content_starts_with_other_products:castroviejo-needle-holder-serrated|elastic-wire-positioner,https://www.kentscientific.com/products/dissecting-scissors-straight-10-cm-long/
45,NEEDS_FIX,DIRECT_OFFICIAL_DETAIL_REVIEW,Ear Tag Applicator,ear-tag-applicator-with-spring-1,TAG-APP,summary_is_other_product:stamped-ear-tags | supplier_support_contamination | no_structured_sections | low_resolution_assets:4 | legacy_image_url_arrays_present | content_starts_with_other_products:la-pias-ear-tags-extra-backs|stamped-ear-tags,https://www.kentscientific.com/products/ear-tag-applicator-with-spring-1/
46,NEEDS_FIX,DIRECT_OFFICIAL_DETAIL_REVIEW,Elastic Wire Positioners,elastic-wire-positioner,SURGI-5019-3,no_structured_sections | low_resolution_assets:3 | legacy_image_url_arrays_present,https://www.kentscientific.com/products/elastic-wire-positioner/
47,NEEDS_FIX,DIRECT_OFFICIAL_DETAIL_REVIEW,Elizabethan Collars,elizabethan-collars,EC201V-10,summary_is_other_product:bravmini-professional-cordless-trimmer-kit | price_or_commerce_contamination | supplier_support_contamination | no_structured_sections | low_resolution_assets:3 | legacy_image_url_arrays_present | content_starts_with_other_products:flat-bottom-rodent-holders|bravmini-professional-cordless-trimmer-kit,https://www.kentscientific.com/products/elizabethan-collars/
48,NEEDS_FIX,DIRECT_OFFICIAL_DETAIL_REVIEW,Endotracheal Intubation Kits,endotracheal-intubation-kits,ETI-MSE,summary_is_other_product:anesthesia-mask-tubing-kits-for-intubation | price_or_commerce_contamination | supplier_support_contamination | no_structured_sections | low_resolution_assets:7 | legacy_image_url_arrays_present | content_starts_with_other_products:anesthesia-mask-tubing-kits-for-intubation|endotracheal-tubes,https://www.kentscientific.com/products/endotracheal-intubation-kits/
49,NEEDS_FIX,DIRECT_OFFICIAL_DETAIL_REVIEW,Endotracheal Tubes,endotracheal-tubes,ETT-1610,summary_is_other_product:endotracheal-intubation-kits | price_or_commerce_contamination | no_structured_sections | low_resolution_assets:4 | legacy_image_url_arrays_present | content_starts_with_other_products:endotracheal-intubation-kits|fiber-optic-lighting-assembly,https://www.kentscientific.com/products/endotracheal-tubes/
50,NEEDS_FIX,DIRECT_OFFICIAL_DETAIL_REVIEW,External Powerbank,external-powerbank,EXT-PWRBANK,supplier_support_contamination | no_structured_sections | low_resolution_assets:3 | legacy_image_url_arrays_present | content_starts_with_other_products:coda-monitor|physiosuite|somnoflo|somnosuite,https://www.kentscientific.com/products/external-powerbank/
51,NEEDS_FIX,DIRECT_OFFICIAL_DETAIL_REVIEW,Far Infrared Warming Pad,far-infrared-warming-pad,RT-0501,price_or_commerce_contamination | no_structured_sections | low_resolution_assets:3 | legacy_image_url_arrays_present | content_starts_with_other_products:righttemp,https://www.kentscientific.com/products/far-infrared-warming-pad/
52,NEEDS_FIX,DIRECT_OFFICIAL_DETAIL_REVIEW,Far Infrared Warming Pads with Controller,far-infrared-warming-pads-with-controller,RT-0515,price_or_commerce_contamination | supplier_support_contamination | no_structured_sections | low_resolution_assets:3 | legacy_image_url_arrays_present,https://www.kentscientific.com/products/far-infrared-warming-pads-with-controller/
53,NEEDS_FIX,DIRECT_OFFICIAL_DETAIL_REVIEW,Fiber Optic Lighting Assembly,fiber-optic-lighting-assembly,ETI-12,summary_is_other_product:endotracheal-tubes | no_structured_sections | low_resolution_assets:3 | legacy_image_url_arrays_present | content_starts_with_other_products:endotracheal-tubes|fiber-optic-lighting-kits,https://www.kentscientific.com/products/fiber-optic-lighting-assembly/
54,NEEDS_FIX,DIRECT_OFFICIAL_DETAIL_REVIEW,Fiber Optic Lighting Kits,fiber-optic-lighting-kits,ETI-MSE-02,price_or_commerce_contamination | supplier_support_contamination | no_structured_sections | low_resolution_assets:3 | legacy_image_url_arrays_present | content_starts_with_other_products:endotracheal-tubes,https://www.kentscientific.com/products/fiber-optic-lighting-kits/
55,NEEDS_FIX,DIRECT_OFFICIAL_DETAIL_REVIEW,Fine Dressing Forceps 10 cm Long,fine-dressing-forceps-10-cm-long,INS650914-4,summary_is_other_product:elastic-wire-positioner | no_structured_sections | low_resolution_assets:3 | legacy_image_url_arrays_present | content_starts_with_other_products:elastic-wire-positioner|hartman-mosquito-hemostatic-forceps-curved,https://www.kentscientific.com/products/fine-dressing-forceps-10-cm-long/
56,NEEDS_FIX,DIRECT_OFFICIAL_DETAIL_REVIEW,"Fine Dressing Forceps, 15.5 cm Long",fine-dressing-forceps-155-cm-long,INS750363-4,summary_is_other_product:super-fine-dressing-forceps-125-cm-long | no_structured_sections | low_resolution_assets:2 | legacy_image_url_arrays_present | content_starts_with_other_products:super-fine-dressing-forceps-125-cm-long,https://www.kentscientific.com/products/fine-dressing-forceps-155-cm-long/
57,NEEDS_FIX,DIRECT_OFFICIAL_DETAIL_REVIEW,Flat Bottom Rodent Holders,flat-bottom-rodent-holders,RSTR541,summary_is_other_product:elizabethan-collars | price_or_commerce_contamination | supplier_support_contamination | no_structured_sections | low_resolution_assets:3 | legacy_image_url_arrays_present | content_starts_with_other_products:elizabethan-collars|miniarco-clipper,https://www.kentscientific.com/products/flat-bottom-rodent-holders/
58,NEEDS_FIX,DIRECT_OFFICIAL_DETAIL_REVIEW,"Glass Syringe, 10 mL",glass-syringe-10-ml,SOMNO-10ML,price_or_commerce_contamination | no_structured_sections | low_resolution_assets:3 | legacy_image_url_arrays_present | content_starts_with_other_products:somnosuite,https://www.kentscientific.com/products/glass-syringe-10-ml/
59,NEEDS_FIX,DIRECT_OFFICIAL_DETAIL_REVIEW,"Glass Syringe, 5 mL",glass-syringe-5-ml,N/A,price_or_commerce_contamination | no_structured_sections | low_resolution_assets:2 | legacy_image_url_arrays_present | content_starts_with_other_products:somnosuite,https://www.kentscientific.com/products/glass-syringe-5-ml/
60,NEEDS_FIX,DIRECT_OFFICIAL_DETAIL_REVIEW,Hartman Mosquito Hemostatic Forceps Curved,hartman-mosquito-hemostatic-forceps-curved,INS750452-2,summary_is_other_product:fine-dressing-forceps-10-cm-long | no_structured_sections | low_resolution_assets:3 | legacy_image_url_arrays_present | content_starts_with_other_products:fine-dressing-forceps-10-cm-long|instrument-micro-bead-sterilizer,https://www.kentscientific.com/products/hartman-mosquito-hemostatic-forceps-curved/
61,NEEDS_FIX,DIRECT_OFFICIAL_DETAIL_REVIEW,"Hartman Mosquito Hemostatic Forceps, Straight",hartman-mosquito-hemostatic-forceps-straight,INS750451-2,summary_is_other_product:tweezer-5b-001-mm-tips-45-angle | no_structured_sections | low_resolution_assets:3 | legacy_image_url_arrays_present | content_starts_with_other_products:super-fine-dressing-forceps-125-cm-long|tweezer-5b-001-mm-tips-45-angle,https://www.kentscientific.com/products/hartman-mosquito-hemostatic-forceps-straight/
