index,sanityId,title,slug,sku,sourceUrl,categoryPath,productType,isActive,recordType,verificationStatus,galleryAssetCount,galleryImageUrlCount,rawImageUrlCount,sectionCount,variantCount,optionGroupCount,officialTitle,officialSubtitle,officialSku,officialSourceUrl,officialGalleryCount,officialSectionCount,verifiedAt,notes
147,product-kent-1514112999fa77ca,Spring Scissors Straight 12 cm Long Extra Fine,spring-scissors-straight-12-cm-long-extra-fine,INS600125,https://www.kentscientific.com/products/spring-scissors-straight-12-cm-long-extra-fine/,surgery > surgical-instruments > laboratory-scissors > micro-scissors,simple,true,PRODUCT,UNVERIFIED,4,0,4,0,0,0,,,,,,,,
148,prod_kent__stainless-steel-brain-matrices,Stainless Steel Brain Matrices,stainless-steel-brain-matrices,RBMS-200C,https://www.kentscientific.com/products/stainless-steel-brain-matrices/,tissue-collection > brain-matricies,variant,true,PRODUCT,UNVERIFIED,6,0,6,0,8,1,,,,,,,,
149,prod_kent__stamped-ear-tags,Stamped Ear Tags,stamped-ear-tags,TAGS1-500,https://www.kentscientific.com/products/stamped-ear-tags/,ear-tags,variant,true,PRODUCT,UNVERIFIED,7,0,7,0,20,1,,,,,,,,
150,prod_kent__standalone-flowmeter-with-stand-0-05lpm,Standalone Flowmeter with Stand,standalone-flowmeter-with-stand-0-05lpm,NEB-1400,https://www.kentscientific.com/products/standalone-flowmeter-with-stand-0-05lpm/,nebulizers,simple,true,PRODUCT,UNVERIFIED,4,0,4,0,0,0,,,,,,,,
151,product-kent-34b6f14975837ddc,Stereotaxic Adapter Kit,stereotaxic-adapter-kit,10-4500-18,https://www.kentscientific.com/products/stereotaxic-adapter-kit/,anesthesia > anesthesia-accessories,simple,true,PRODUCT,UNVERIFIED,4,0,4,0,0,0,,,,,,,,
152,product-kent-7b85c5d5d76bfb06,Sterile Disposable Towel Drapes,sterile-disposable-towel-drapes,SURGI-5023-3,https://www.kentscientific.com/products/sterile-disposable-towel-drapes/,surgery > surgical-accessories,variant,true,PRODUCT,UNVERIFIED,4,0,4,0,2,1,,,,,,,,
153,product-kent-612c5f1391b2bfff,Straight #5 Tweezer Kit,straight-5-tweezer-kit,INS600-KIT,https://www.kentscientific.com/products/straight-5-tweezer-kit/,surgery > surgical-instruments > surgical-tweezers,simple,true,PRODUCT,UNVERIFIED,4,0,4,0,0,0,,,,,,,,
154,prod_kent__straight-feeding-needles,Straight Feeding Needles,straight-feeding-needles,FNS-18-2-2,https://www.kentscientific.com/products/straight-feeding-needles/,feeding-needles,variant,true,PRODUCT,UNVERIFIED,3,0,3,0,3,1,,,,,,,,
155,product-kent-032f388acf03c184,Straight Serrated Needle Holder 14 cm Long,straight-serrated-needle-holder-14-cm-long,INS600110-2,https://www.kentscientific.com/products/straight-serrated-needle-holder-14-cm-long/,surgery > surgical-instruments > needle-holders,variant,true,PRODUCT,UNVERIFIED,4,0,4,0,1,1,,,,,,,,
156,product-kent-d52549e608e2ec67,"Super Fine Dressing Forceps, 12.5 cm Long",super-fine-dressing-forceps-125-cm-long,INS650908-4,https://www.kentscientific.com/products/super-fine-dressing-forceps-125-cm-long/,surgery > surgical-instruments > forceps > dressing-forceps,simple,true,PRODUCT,UNVERIFIED,4,0,4,0,0,0,,,,,,,,
